	BS-592	BS-593	BS-594	BS-595	BS-596	BS-597	BS-598	BS-599	BS-600	BS-601	BS-602	BS-587	BS-588	BS-589	BS-590	BS-591
ASV_770	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0
ASV_771	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0
ASV_772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV_773	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_774	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0
ASV_775	0	0	0	11	0	0	0	0	23	0	0	0	0	0	0	0
ASV_776	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
ASV_777	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
ASV_778	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
ASV_779	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
ASV_780	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
ASV_781	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0
ASV_782	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0
ASV_783	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
ASV_784	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0
ASV_785	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_786	0	0	0	27	0	0	0	0	6	0	0	0	0	0	0	0
ASV_787	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
ASV_788	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0
ASV_789	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
ASV_790	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0
ASV_791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33
ASV_792	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0
ASV_793	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
ASV_794	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0
ASV_795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ASV_796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
ASV_797	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_798	0	21	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_799	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
ASV_800	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0
ASV_801	0	0	0	13	0	0	0	0	16	0	0	0	0	0	0	0
ASV_802	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
ASV_803	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
ASV_804	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
ASV_805	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
ASV_806	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0
ASV_807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
ASV_808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29
ASV_809	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV_810	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0
ASV_811	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
ASV_812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0
ASV_813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ASV_814	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
ASV_815	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0
ASV_816	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_817	0	0	0	11	0	0	0	0	15	0	0	0	0	0	0	0
ASV_818	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0
ASV_819	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
ASV_820	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0
ASV_821	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
ASV_822	0	0	0	0	0	2	0	0	0	0	0	0	24	0	0	0
ASV_823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
ASV_824	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
ASV_825	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
ASV_826	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0
ASV_827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
ASV_828	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_829	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
ASV_830	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0
ASV_831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
ASV_832	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_833	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0
ASV_834	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
ASV_835	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0
ASV_836	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0
ASV_837	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ASV_838	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0
ASV_839	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV_840	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
ASV_841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
ASV_842	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
ASV_843	0	0	0	6	0	0	0	0	16	0	0	0	0	0	0	0
ASV_844	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
ASV_845	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
ASV_846	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0
ASV_847	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
ASV_848	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0
ASV_849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ASV_850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
ASV_851	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
ASV_852	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
ASV_853	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
ASV_854	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
ASV_855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
ASV_856	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0
ASV_857	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
ASV_858	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
ASV_859	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
ASV_860	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0
ASV_861	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_862	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_863	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0
ASV_864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ASV_865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
ASV_866	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
ASV_867	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0
ASV_868	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_869	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_870	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_871	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0
ASV_872	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV_873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
ASV_876	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
ASV_877	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_878	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
ASV_879	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_880	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_881	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_882	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_883	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0
ASV_884	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	0
ASV_885	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0
ASV_886	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV_887	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0
ASV_888	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_889	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_890	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_891	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_892	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_893	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
ASV_894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV_895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV_896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
ASV_897	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_898	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_899	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_900	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_901	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_902	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_903	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_904	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
ASV_905	0	0	0	5	0	0	0	0	9	0	0	0	0	0	0	0
ASV_906	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ASV_907	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0
ASV_908	0	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0
ASV_909	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_910	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_911	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_912	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_913	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0
ASV_914	0	3	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_915	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_916	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
ASV_917	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
ASV_918	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_919	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0
ASV_920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
ASV_921	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0
ASV_922	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_923	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_924	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_925	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_926	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_927	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_928	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0
ASV_929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
ASV_930	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV_931	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
ASV_932	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0
ASV_933	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_934	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_935	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_936	0	0	0	0	0	0	0	0	3	0	8	0	0	0	0	0
ASV_937	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_938	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_939	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
ASV_940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV_941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV_942	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_943	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
ASV_944	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
ASV_945	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_946	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_947	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_948	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_949	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_950	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_951	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV_952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ASV_953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ASV_954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ASV_955	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_956	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_957	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_958	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_959	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
ASV_960	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ASV_961	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
ASV_962	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_963	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_964	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_965	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_966	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_967	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_968	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_969	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_970	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
ASV_971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ASV_972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
ASV_973	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0
ASV_974	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV_975	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
ASV_976	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_977	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_978	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_979	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_980	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_981	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_982	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_983	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_984	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_985	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
ASV_986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV_987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
ASV_988	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_989	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
ASV_990	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_991	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_992	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_993	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_994	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_995	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_996	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
ASV_997	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
ASV_998	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_999	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1000	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1001	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1002	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1003	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1004	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1005	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1006	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1007	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1008	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1009	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ASV_1010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
ASV_1011	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1012	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_1013	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_1014	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_1015	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_1016	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
ASV_1017	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1018	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1019	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV_1020	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_1021	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_1022	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_1023	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_1024	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
ASV_1025	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
ASV_1026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1030	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
ASV_1031	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1032	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1033	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1034	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1035	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1036	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1037	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1038	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
ASV_1039	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ASV_1040	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1041	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ASV_1042	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1043	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1044	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1045	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1046	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1047	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1048	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1049	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ASV_1050	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ASV_1051	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ASV_1052	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
